bin,n_faults,failures_median,failures_min,failures_max,held_out_faults,recall_random,recall_recency,recall_failure_rate,recall_coverage,recall_structural_rule,recall_bm25_lexical,recall_xgboost_struct,recall_xgboost_struct_lex,recall_xgboost_static,recall_xgboost_static_nocov,recall_xgboost_static_nocov_lex,recall_semif_textonly,recall_semif_full,recall_semif_after_doc,frac_in_coverage,frac_in_structural_funnel,median_funnel_size,median_killer_rank_in_funnel,median_normalized_killer_rank_bm25
1,232,2.0000,1.0000,2.0000,24,0.0000,0.0000,0.0000,0.0000,0.0417,0.1667,0.0000,0.0000,0.0000,0.0000,0.0000,0.1250,0.0417,0.2500,1.0000,0.4167,5.5000,1.0000,0.4388
2,231,3.0000,2.0000,4.0000,50,0.0600,0.1200,0.1400,0.0600,0.2000,0.2800,0.1600,0.3200,0.1800,0.0800,0.2600,0.4200,0.2200,0.3800,1.0000,0.4200,6.5000,1.0000,0.2457
3,231,4.0000,4.0000,5.0000,60,0.0667,0.1167,0.2167,0.0667,0.1667,0.3500,0.2833,0.3833,0.3167,0.1667,0.3333,0.3333,0.2167,0.3333,1.0000,0.4500,4.5000,1.0000,0.2500
4,231,6.0000,5.0000,7.0000,34,0.0000,0.1176,0.0588,0.0000,0.2353,0.2059,0.4412,0.5294,0.4412,0.2059,0.4118,0.2353,0.0294,0.2857,1.0000,0.3824,12.0000,1.0000,0.2327
5,231,8.0000,7.0000,9.0000,52,0.0962,0.2308,0.2500,0.0962,0.1154,0.2885,0.3846,0.4808,0.4231,0.2692,0.3846,0.1731,0.0577,,1.0000,0.3846,4.0000,1.0000,0.2857
6,231,12.0000,9.0000,13.0000,36,0.0556,0.2778,0.5278,0.1111,0.3889,0.1944,0.5278,0.5556,0.5833,0.5278,0.6944,0.2778,0.1389,,1.0000,0.3333,1.0000,1.0000,0.3538
7,231,15.0000,13.0000,18.0000,55,0.0545,0.1818,0.2000,0.0000,0.1273,0.0909,0.5455,0.6182,0.6364,0.4182,0.4727,0.1455,0.0364,,1.0000,0.5636,11.0000,0.5373,0.3359
8,231,22.0000,18.0000,28.0000,50,0.1400,0.2600,0.6200,0.0800,0.2800,0.2000,0.7400,0.7600,0.8000,0.6800,0.6200,0.2800,0.1000,,1.0000,0.4800,9.0000,1.0000,0.6510
9,231,34.0000,28.0000,40.0000,47,0.0000,0.2340,0.7447,0.0000,0.0426,0.1915,0.5745,0.7872,0.8511,0.7234,0.6383,0.1489,0.0851,,1.0000,0.6383,35.0000,0.2143,0.3258
10,231,51.0000,40.0000,68.0000,56,0.0000,0.3750,0.8214,0.0000,0.1964,0.0357,0.8214,0.8214,0.8929,0.8750,0.8571,0.0893,0.0000,,1.0000,0.4107,134.0000,1.0000,0.6094
